Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1180	Spectrogram 1	1	62341.0	62344.0	0	12000.0	Eurasian Magpie	eurmag1	0.5946	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	1.0
1181	Spectrogram 1	1	62342.0	62345.0	0	12000.0	Eurasian Magpie	eurmag1	0.7040	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	2.0
1182	Spectrogram 1	1	62376.0	62379.0	0	12000.0	Eurasian Magpie	eurmag1	0.5047	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	36.0
1183	Spectrogram 1	1	62377.0	62380.0	0	12000.0	Eurasian Magpie	eurmag1	0.5253	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	37.0
1184	Spectrogram 1	1	62378.0	62381.0	0	12000.0	Eurasian Magpie	eurmag1	0.5505	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	38.0
1185	Spectrogram 1	1	62382.0	62385.0	0	12000.0	Eurasian Magpie	eurmag1	0.5530	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_055000.wav	42.0
1186	Spectrogram 1	1	62482.0	62485.0	0	12000.0	Eurasian Magpie	eurmag1	0.5247	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	22.0
1187	Spectrogram 1	1	62483.0	62486.0	0	12000.0	Eurasian Magpie	eurmag1	0.6432	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	23.0
1188	Spectrogram 1	1	62487.0	62490.0	0	12000.0	Eurasian Magpie	eurmag1	0.6534	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	27.0
1189	Spectrogram 1	1	62488.0	62491.0	0	12000.0	Eurasian Magpie	eurmag1	0.7628	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	28.0
1190	Spectrogram 1	1	62489.0	62492.0	0	12000.0	Eurasian Magpie	eurmag1	0.5931	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	29.0
1191	Spectrogram 1	1	62490.0	62493.0	0	12000.0	Eurasian Magpie	eurmag1	0.8287	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	30.0
1192	Spectrogram 1	1	62491.0	62494.0	0	12000.0	Eurasian Magpie	eurmag1	0.7550	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	31.0
1193	Spectrogram 1	1	62492.0	62495.0	0	12000.0	Eurasian Magpie	eurmag1	0.5452	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	32.0
1194	Spectrogram 1	1	62493.0	62496.0	0	12000.0	Eurasian Magpie	eurmag1	0.6966	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	33.0
1195	Spectrogram 1	1	62494.0	62497.0	0	12000.0	Eurasian Magpie	eurmag1	0.7130	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	34.0
1196	Spectrogram 1	1	62496.0	62499.0	0	12000.0	Eurasian Magpie	eurmag1	0.6785	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	36.0
1197	Spectrogram 1	1	62497.0	62500.0	0	12000.0	Eurasian Magpie	eurmag1	0.7913	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	37.0
1198	Spectrogram 1	1	62498.0	62501.0	0	12000.0	Eurasian Magpie	eurmag1	0.7427	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	38.0
1199	Spectrogram 1	1	62499.0	62502.0	0	12000.0	Eurasian Magpie	eurmag1	0.9026	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	39.0
1200	Spectrogram 1	1	62500.0	62503.0	0	12000.0	Eurasian Magpie	eurmag1	0.7718	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	40.0
1201	Spectrogram 1	1	62501.0	62504.0	0	12000.0	Eurasian Magpie	eurmag1	0.8856	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	41.0
1202	Spectrogram 1	1	62502.0	62505.0	0	12000.0	Eurasian Magpie	eurmag1	0.8416	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	42.0
1203	Spectrogram 1	1	62503.0	62506.0	0	12000.0	Eurasian Magpie	eurmag1	0.8377	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	43.0
1204	Spectrogram 1	1	62504.0	62507.0	0	12000.0	Eurasian Magpie	eurmag1	0.6778	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	44.0
1205	Spectrogram 1	1	62507.0	62510.0	0	12000.0	Eurasian Magpie	eurmag1	0.5094	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	47.0
1206	Spectrogram 1	1	62508.0	62511.0	0	12000.0	Eurasian Magpie	eurmag1	0.8241	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	48.0
1207	Spectrogram 1	1	62509.0	62512.0	0	12000.0	Eurasian Magpie	eurmag1	0.6548	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	49.0
1208	Spectrogram 1	1	62512.0	62515.0	0	12000.0	Eurasian Magpie	eurmag1	0.5144	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	52.0
1209	Spectrogram 1	1	62513.0	62516.0	0	12000.0	Eurasian Magpie	eurmag1	0.6406	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	53.0
1210	Spectrogram 1	1	62515.0	62518.0	0	12000.0	Eurasian Jackdaw	eurjac	0.5108	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060000.wav	55.0
1211	Spectrogram 1	1	62523.0	62526.0	0	12000.0	Eurasian Magpie	eurmag1	0.5431	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	3.0
1212	Spectrogram 1	1	62526.0	62529.0	0	12000.0	European Robin	eurrob1	0.7418	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	6.0
1213	Spectrogram 1	1	62527.0	62530.0	0	12000.0	European Robin	eurrob1	0.5608	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	7.0
1214	Spectrogram 1	1	62538.0	62541.0	0	12000.0	Eurasian Magpie	eurmag1	0.5041	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	18.0
1215	Spectrogram 1	1	62540.0	62543.0	0	12000.0	Eurasian Magpie	eurmag1	0.5269	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	20.0
1216	Spectrogram 1	1	62542.0	62545.0	0	12000.0	European Robin	eurrob1	0.6191	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240622_060500.wav	22.0
