Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
44	Spectrogram 1	1	11062.0	11065.0	0	12000.0	European Robin	eurrob1	0.6157	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	34.0
45	Spectrogram 1	1	11073.0	11076.0	0	12000.0	European Robin	eurrob1	0.6601	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	45.0
46	Spectrogram 1	1	11074.0	11077.0	0	12000.0	European Robin	eurrob1	0.5842	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	46.0
47	Spectrogram 1	1	11078.0	11081.0	0	12000.0	European Robin	eurrob1	0.5607	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	50.0
48	Spectrogram 1	1	11079.0	11082.0	0	12000.0	European Robin	eurrob1	0.5470	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	51.0
49	Spectrogram 1	1	11131.0	11134.0	0	12000.0	European Robin	eurrob1	0.7073	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	46.0
50	Spectrogram 1	1	11132.0	11135.0	0	12000.0	European Robin	eurrob1	0.7637	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	47.0
51	Spectrogram 1	1	11133.0	11136.0	0	12000.0	European Robin	eurrob1	0.5828	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	48.0
52	Spectrogram 1	1	11134.0	11137.0	0	12000.0	European Robin	eurrob1	0.8079	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	49.0
53	Spectrogram 1	1	11135.0	11138.0	0	12000.0	European Robin	eurrob1	0.7238	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	50.0
54	Spectrogram 1	1	11136.0	11139.0	0	12000.0	European Robin	eurrob1	0.8575	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	51.0
55	Spectrogram 1	1	11137.0	11140.0	0	12000.0	European Robin	eurrob1	0.8314	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	52.0
56	Spectrogram 1	1	11138.0	11141.0	0	12000.0	European Robin	eurrob1	0.7604	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	53.0
57	Spectrogram 1	1	11139.0	11142.0	0	12000.0	European Robin	eurrob1	0.7580	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	54.0
58	Spectrogram 1	1	11140.0	11143.0	0	12000.0	European Robin	eurrob1	0.6196	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040002.wav	55.0
59	Spectrogram 1	1	11142.0	11145.0	0	12000.0	European Robin	eurrob1	0.6336	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040502.wav	0
60	Spectrogram 1	1	11143.0	11146.0	0	12000.0	European Robin	eurrob1	0.6507	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_040502.wav	1.0
